"equipment_desc","room_number","location","contact","equip_shared_use","model","serial_no","pat_test","service_information","install_disposal_transfer_info","old_asset_no","db_entry_in_use_or_archived","equipment_type"
"Christ CT 02-50 SR (solvent resistant)","211","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Cooling Trap"
"Stuart Rotator SB3","211","Haem-Onc","Selina Blades","Yes","n/a","R000100630","2014","n/a","n/a","n/a","In use","Tube Rotator"
"TR Elga Purelab Option ","211","Haem-Onc","Selina Blades","Yes","n/a","SC-9275","2014","n/a","n/a","n/a","In use","Water purification system"
"TR Elga Purelab Option ","211","Haem-Onc","Selina Blades","Yes","n/a","QUEE67","2014","n/a","n/a","n/a","In use","Water purification system"
"Agilent Tech 1200 Series Degasser","211","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Degasser"
"Agilent Tech 1200 Series Quat Pump","211","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Quat Pump"
"Agilent Tech 1200 Series DLA","211","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","DLA"
"Agilent Tech 1200 Series Analyt FC","211","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Analyt FC"
"Agilent Tech 1200 Series DAD","211","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","DAD"
"Agilent Tech 1200 Series TTC","211","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","TTC"
"Sartorius 1712","211","Haem-Onc","Selina Blades","Yes","n/a","3309090","2014","n/a","n/a","n/a","In use","Balance"
"Sartorius BPHO","211","Haem-Onc","Selina Blades","Yes","n/a","121","2014","n/a","n/a","n/a","In use","Balance"
"Mettler AE240","305","Haem-Onc","Selina Blades","Yes","n/a","K38022","2014","n/a","n/a","n/a","In use","Balance"
"Acculab VIC-4MG","305","Haem-Onc","Selina Blades","Yes","n/a","22811835","2014","n/a","n/a","n/a","In use","Balance"
"Millipore Milli-Q Integral 5 (A10)","305","Haem-Onc","Selina Blades","Yes","n/a","F9AN50056E","2014","n/a","n/a","n/a","In use","Water purification system"
"Syngene Bioimaging Gene flash","305","Haem-Onc","Selina Blades","Yes","n/a","SYGF1082","2014","n/a","n/a","n/a","In use","Gel documentation and analysis system"
"Bibby HC502","305","Haem-Onc","Selina Blades","Yes","n/a","RO4612","2014","n/a","n/a","n/a","In use","Stirrer/hot plate"
"Panasonic","305","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Microwave"
"Biorad Trans-blot Turbo","305","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Transfer System"
"Eppendorf Thermomixer Comfort","305","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Thermomixer"
"Fujifilm LAS4000 mini (SJ)","332","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Chemiluminescence imager"
"Qiagen TissueLyser II","313","Haem-Onc","Selina Blades","Yes","n/a","128180214","2014","n/a","n/a","n/a","In use","Disruption system"
"Savant DNA speed vac DNA 120","313","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Vacuum concentrator"
"Grant ultrasonic bath XB14","313","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Ultrasonic bath"
"POLARstar OPTIMA","313","Haem-Onc","Selina Blades","Yes","n/a","413-0033","2014","n/a","n/a","n/a","In use","Microplate reader"
"Diagenode","313","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Biorupter"
"GS FLX Titanium","315","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Data computing cluster"
"Millipore Guava Easycyte plus (broken)","322A","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Flow Cytometry System"
"Millipore Guava Easycyte plus","FACS","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Flow Cytometry System"
"7900HT Fast Real-Time PCR System","327","Haem-Onc","Selina Blades","Yes","n/a","201823","2014","n/a","n/a","n/a","In use","qPCR System"
"Beckman Coulter Vi-cell XR","327","Haem-Onc","Selina Blades","Yes","n/a","AM18109","2014","n/a","n/a","n/a","In use","Cell counter"
"NanoDrop ND-1000","331","Haem-Onc","Selina Blades","Yes","n/a","4167","2014","n/a","n/a","n/a","In use","NanoDrop"
"Dell Precision PC","331","Haem-Onc","Selina Blades","Yes","n/a","2KP9B71","2014","n/a","n/a","n/a","In use","PC"
"Agilent 2100 Bioanalyzer","331","Haem-Onc","Selina Blades","Yes","n/a","DE20901666","2014","n/a","n/a","n/a","In use","Bioanalyzer system"
"Dell OPTIPLEX","331","Haem-Onc","Selina Blades","Yes","n/a","2697V71","2014","n/a","n/a","n/a","In use","PC"
"Perkin-Elmer Series 200 Column Oven","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Column Oven"
"Perkin-Elmer Series 200 Column Oven","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Column Oven"
"Perkin-Elmer Series 200 Diode Array Detector","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Diode Array Detector"
"Perkin-Elmer Series 200 Autosampler","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Autosampler"
"Perkin-Elmer Series 200 Autosampler","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Autosampler"
"Perkin-Elmer Series 200 Pump","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Pump"
"Perkin-Elmer Series 200 Pump","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Pump"
"Perkin-Elmer Series 200 Fluorescence Detector","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Fluorescence Detector"
"Perkin-Elmer Series 200 UV/VIS Detector","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","UV/VIS Detector"
"Affymetrix GeneChip Hybridisation Oven 640","331","Haem-Onc","Selina Blades","Yes","n/a","21093","2014","n/a","n/a","n/a","In use","Hybridisation Oven"
"Affymetrix GeneChip Hybridisation Oven 641","331","Haem-Onc","Selina Blades","Yes","n/a","021804","2014","n/a","n/a","n/a","In use","Hybridisation Oven"
"Nikon Biostation IM","332","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Biostation"
"Leica RM2235","334","Haem-Onc","Selina Blades","Yes","n/a","2685/10.2007","2014","n/a","n/a","n/a","In use","Rotary microtome"
"Dako Cytomation AutoStainer ","334","Haem-Onc","Selina Blades","Yes","n/a","S38-7204-01","2014","n/a","n/a","n/a","In use","Autostainer"
"Dako Hybridizer StatSpin","334","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Hybridizer"
"Peltier MJ Research DNA Engine DYAD","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use",""
"Tetrad thermal cycler","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use",""
"Tetrad thermal cycler","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use",""
"Tetrad2","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use",""
"Biotrove open array NT cycler","332","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use",""
"Biorad C1000 Touch","311","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use",""
"Peltier MJ Research DNA Engine DYAD","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Thermocycler"
"Tetrad thermal cycler","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Thermocycler"
"Tetrad thermal cycler","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Thermocycler"
"Tetrad2","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Thermocycler"
"Biotrove open array NT cycler","332","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Thermocycler"
"Biorad C1000 Touch","311","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Thermocycler"
"Biorad power supply 200","305","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Power supply"
"Biorad power supply 200","305","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Power supply"
"Biorad power supply 200","305","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Power supply"
"Biorad power supply 200","305","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Power supply"
"Shandon power supply","305","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Power supply"
"Electrophorese PP279 power supply","305","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Power supply"
"Invitrogen power supply power ease 500","305","Haem-Onc","Selina Blades","Yes","n/a","351757-101","2014","n/a","n/a","n/a","In use","Power supply"
"Consort EV231 power supply","305","Haem-Onc","Selina Blades","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Power supply"
"Waters Nano acquity UPLC System","211","Mass Spec","Vinothini Rajeeve/Ed Wilkes","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Mass Spec"
"Waters Nano acquity UPLC System","211","Mass Spec","Vinothini Rajeeve/Ed Wilkes","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Mass Spec"
"Waters Nano acquity UPLC System","211","Mass Spec","Vinothini Rajeeve/Ed Wilkes","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Mass Spec"
"Thermo Scientific Vantage TSQ + autosampler, pump","211","Mass Spec","Vinothini Rajeeve/Ed Wilkes","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Mass Spec"
"Waters QTOF Premier","211","Mass Spec","Vinothini Rajeeve/Ed Wilkes","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Mass Spec"
"Thermo Scientific Orbitrap LTQ XL","211","Mass Spec","Vinothini Rajeeve/Ed Wilkes","Yes","n/a","1","2014","n/a","n/a","n/a","In use","Mass Spec"
"Wilovert inverted microscope","309","Haem-Onc","Selina Blades","Yes","n/a","201927","2014","Microscope Service & Sales","n/a","n/a","In use","Microscope"
"Leitz Laborlux 11 microscope ","309","Haem-Onc","Selina Blades","Yes","n/a","996670","2014","Microscope Service & Sales","n/a","n/a","In use","Microscope"
"Leica DM2500 dual stage microscope","315A","Haem-Onc","Selina Blades","Yes","n/a","267-7968-092004","2014","Microscope Service & Sales","n/a","n/a","In use","Microscope"
"Zeiss Axioplan2 imaging microscope","315A","Haem-Onc","Selina Blades","Yes","n/a","104366","2014","Microscope Service & Sales","n/a","n/a","In use","Microscope"
"Leitz Laborlux 11 microscope ","322A","Haem-Onc","Selina Blades","Yes","n/a","998056","2014","Microscope Service & Sales","n/a","n/a","In use","Microscope"
"Leitz Laborlux 11 microscope ","322A","Haem-Onc","Selina Blades","Yes","n/a","996669","2014","Microscope Service & Sales","n/a","n/a","In use","Microscope"
"Leitz Labovert microscope","322A","Haem-Onc","Selina Blades","Yes","n/a","520567","2014","Microscope Service & Sales","n/a","n/a","In use","Microscope"
"Zeiss Axioplan2 imaging microscope","334","Haem-Onc","Selina Blades","Yes","n/a","451887","2014","Microscope Service & Sales","n/a","n/a","In use","Microscope"
"Nikon Eclipse Ci","315A","Haem-Onc","Selina Blades","Yes","n/a","1","2014","Microscope Service & Sales","n/a","n/a","In use","Microscope"
"Binder CO2 cabinet top left","309","Haem-Onc","Selina Blades","Yes","n/a","1","2014","Wolf Labs Labserve","n/a","n/a","In use","Incubator"
"Binder CO2 cabinet top right","309","Haem-Onc","Selina Blades","Yes","n/a","1","2014","Wolf Labs Labserve","n/a","n/a","In use","Incubator"
"Binder CO2 cabinet bottom left","309","Haem-Onc","Selina Blades","Yes","n/a","1","2014","Wolf Labs Labserve","n/a","n/a","In use","Incubator"
"Binder CO2 cabinet bottom right","309","Haem-Onc","Selina Blades","Yes","n/a","1","2014","Wolf Labs Labserve","n/a","n/a","In use","Incubator"
"Binder CO2 cabinet top left","322A","Haem-Onc","Selina Blades","Yes","n/a","1","2014","Wolf Labs Labserve","n/a","n/a","In use","Incubator"
"Binder CO2 cabinet top right","322A","Haem-Onc","Selina Blades","Yes","n/a","1","2014","Wolf Labs Labserve","n/a","n/a","In use","Incubator"
"Binder CO2 cabinet bottom left","322A","Haem-Onc","Selina Blades","Yes","n/a","1","2014","Wolf Labs Labserve","n/a","n/a","In use","Incubator"
"Binder CO2 cabinet bottom right","322A","Haem-Onc","Selina Blades","Yes","n/a","1","2014","Wolf Labs Labserve","n/a","n/a","In use","Incubator"
"New Brunswick Galaxy 48 S mini incubator","332","Haem-Onc","Selina Blades","Yes","n/a","1","2014","Wolf Labs Labserve","n/a","n/a","In use","Incubator"
"New Brunswick Scientific -86 U360 Innova","322","Haem-Onc","Selina Blades","No","n/a","1","2014","Wolf Labs Labserve","n/a","n/a","In use","Freezer"
"Thermo Forma 900 -80 freezer","322","Haem-Onc","Selina Blades","No","n/a","817959-717","2014","Wolf Labs Labserve","n/a","n/a","In use","Freezer"
"CBS Isothermal V-1500 nitrogen freezer","327","Haem-Onc","Selina Blades","No","n/a","030617M-1","2014","Wolf Labs Labserve","n/a","n/a","In use","Freezer"
"New Brunswick U725-86","LG1","Haem-Onc","Selina Blades","No","n/a","1005-4809-0208","2014","Wolf Labs Labserve","n/a","n/a","In use","Freezer"
"New Brunswick U725-86","LG1","Haem-Onc","Selina Blades","No","n/a","1005-3403-1006","2014","Wolf Labs Labserve","n/a","n/a","In use","Freezer"
"New Brunswick U725-86","LG1","Haem-Onc","Selina Blades","No","n/a","1005-3404-1006","2014","Wolf Labs Labserve","n/a","n/a","In use","Freezer"
"New Brunswick U725-86","LG1","Haem-Onc","Selina Blades","No","n/a","1005-2777-0106","2014","Wolf Labs Labserve","n/a","n/a","In use","Freezer"
"Christ Alpha RVC 2-25","211","Haem-Onc","Selina Blades","Yes","n/a","14070","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"Eppendorf 5415D","211","Haem-Onc","Selina Blades","Yes","n/a","31311","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"Hettich Universal 320R  ","211","Haem-Onc","Selina Blades","Yes","n/a","0002908-01-00  ","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"Eppendorf 5417R   ","211","Haem-Onc","Selina Blades","Yes","n/a","04084","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"Eppendorf 5415R   ","305","Haem-Onc","Selina Blades","Yes","n/a","19234","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"Beckman Allegra X15R   ","305","Haem-Onc","Selina Blades","Yes","n/a","ALP10D38 ","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"Shandon Cytospin III  ","305","Haem-Onc","Selina Blades","Yes","n/a","MA220009R  ","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"ALC PK121R    ","311","Haem-Onc","Selina Blades","Yes","n/a","30301482","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"Eppendorf 5417R  ","311","Haem-Onc","Selina Blades","Yes","n/a","08106","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"Heraeus Biofuge 17   ","311","Haem-Onc","Selina Blades","Yes","n/a","40996489","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"Beckman Allegra X12R    ","327","Haem-Onc","Selina Blades","Yes","n/a","ALX08D23","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"Heraeus Biofuge Fresco 17   ","327","Haem-Onc","Selina Blades","Yes","n/a","40716740","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"Eppendorf 5415R    ","331","Haem-Onc","Selina Blades","Yes","n/a","0011229","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"Eppendorf 5415C   ","332","Haem-Onc","Selina Blades","Yes","n/a","45247","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"Beckman Allegra X15R    ","332","Haem-Onc","Selina Blades","Yes","n/a","ALP10D39","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"Eppendorf 5417C  ","332","Haem-Onc","Selina Blades","Yes","n/a","26791","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"Heraeus Biofuge 17    ","334","Haem-Onc","Selina Blades","Yes","n/a","40996490","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"Jouan CR3-12   ","322A","Haem-Onc","Selina Blades","Yes","n/a","29303185","2014","DJB Labcare","n/a","n/a","In use","Centrifuge"
"Fumair Fume Cupboard B1000","211","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"Fumair Fume Cupboard B1200","211","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"Fume Cupboard L.A.B Services","305","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"Scanlaf biological safety cabinet","305","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"Scanlaf biological safety cabinet","309","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"Scanlaf biological safety cabinet","309","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"Scanlaf biological safety cabinet","309","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"Fume Cupboard L.A.B Services","311","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"MDH Microflow biological safety cabinet","327","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"Bigneat Captair (flow hood)","327","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"UVP HEPA/UV Sterilizing PCR Workstation","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"UVP HEPA/UV Sterilizing PCR Workstation","331","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"Fume Cupboard - out of use","332","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"MDH Microflow biological safety cabinet","332","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"Fumair Fume Cupboard","334","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"Scanlaf biological safety cabinet","322A","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"Scanlaf biological safety cabinet","322A","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"Nuair biological safety cabinet Nu-425-400E","322A","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"Nuair biological safety cabinet Nu-425-400E","322A","Haem-Onc","Selina Blades","Yes","n/a","1","2014","","n/a","n/a","In use","Cabinet"
"Taylor Wharton LABS -40k","0","LN2 Shed","Selina Blades","No","n/a","772-005-GG12","","in use","","","In use","n/a"
"Taylor Wharton LABS -40k","0","LN2 Shed","Selina Blades","No","n/a","x","","","","","In use","n/a"
"LN2 Supply vessel","0","LN2 Shed","Selina Blades","No","n/a","XL240/M797-006TKA","","in use","","","In use","n/a"
"Taylor-Wharton 24K (tank 1)","0","LN2 Shed","Selina Blades","No","n/a","555-005-RA","","in use","","","In use","n/a"
"Taylor-Wharton 24K (tank 2)","0","LN2 Shed","Selina Blades","No","n/a","555-009-R8","","in use","","","In use","n/a"
"Taylor-Wharton 24K (tank 3)","0","LN2 Shed","Selina Blades","No","n/a","555-005-W7","","in use","","","In use","n/a"
"Taylor-Wharton 24K (tank 4)","0","LN2 Shed","Selina Blades","No","n/a","555-008-W5","","in use","","","In use","n/a"
"Thermo Fisher 7403 (tank 7)","0","LN2 Shed","Selina Blades","No","n/a","508925-20404","","in use","","","In use","n/a"
"Air Liquide BT55 (tank 15)","0","LN2 Shed","Selina Blades","No","n/a","N/A","","in use","","","In use","n/a"
"Air Liquide GT55 (tank 10)","0","LN2 Shed","Selina Blades","No","n/a","2151","","in use","","","In use","n/a"
"Simon Joel Tank 1","0","LN2 Shed","Selina Blades","No","n/a","560-006-BB8 34","","in use","","","In use","n/a"
"Simon Joel Tank 2","0","LN2 Shed","Selina Blades","No","n/a","560-002-BB8","","in use","","","In use","n/a"
"Taylor-Wharton fill tank P15073","0","LN2 Shed","Selina Blades","No","n/a","XL240/M797-006-TKA","","","","","In use","n/a"
"Chart fill tank 230/1 (tank 7)","0","LN2 Shed","Selina Blades","No","n/a","30909381","","","","","In use","n/a"
"Air Reel (tanks 1 & 2)","0","LN2 Shed","Selina Blades","No","n/a","illegible","","","","","In use","n/a"
"Deuers (tank 26)","0","LN2 Shed","Selina Blades","No","n/a","illegible","","","","","In use","n/a"
"Statebourne Cryogenics (tanks 3 & 4)","0","LN2 Shed","Selina Blades","No","n/a","CS240","","","","","In use","n/a"
"Cryoproducts 10K tank","0","LN2 Shed","Selina Blades","No","n/a","K200-01-057","","","","","In use","n/a"
"Air Liquide GB55 (tank 17)","0","LN2 Shed","Selina Blades","No","n/a","2447","","empty","","","Archive","Incubator"
"Air Liquide GT55 (tank 12)","0","LN2 Shed","Selina Blades","No","n/a","3075","","empty","","","Archive","Incubator"
"Air Liquide GT55 (tank 19)","0","LN2 Shed","Selina Blades","No","n/a","2140","","empty","","","Archive","Incubator"
"Air Liquide GT55 (tank 2)","0","LN2 Shed","Selina Blades","No","n/a","2829","","empty","","","Archive","Incubator"
"Air Liquide ARPEGE 55 (tank 26)","0","LN2 Shed","Selina Blades","No","n/a","3425","","empty","","","Archive","Incubator"
"Air Liquide ARPEGE 55 (tank 25)","0","LN2 Shed","Selina Blades","No","n/a","3396","","empty","","","Archive","LN2 equipment"
"Binder CO2 incubators 2","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","Freezer"
"Binder CO2 incubators 3","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","Freezer"
"Binder CO2 incubators 4","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","Freezer"
"Heraeus functionline incubator","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","","","","In use","Freezer"
"Heraeus functionline incubator","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","","","","In use","Centrifuge"
"BOC Drystore","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","","","","In use","n/a"
"NEW BRUNSWICK Freezer","0","Tumour Biology","Debbie Buckle","No","n/a","1","","","LG1(Willoughby)","","In use","n/a"
"NEW BRUNSWICK Freezer","0","Tumour Biology","Debbie Buckle","No","n/a","1","","","LG1(Willoughby)","","In use","n/a"
"NEW BRUNSWICK Freezer","0","Tumour Biology","Debbie Buckle","No","n/a","1","","","LG1(Willoughby)","","In use","n/a"
"NEW BRUNSWICK Freezer","0","Tumour Biology","Debbie Buckle","No","n/a","1","","","LG1(Willoughby)","","In use","n/a"
"Sigma 6K15 Centrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","103347","2010","12 months, July 2012, DJB Labcare","","CMOI 0059","In use","Centrifuge"
"Scanlaf Biological Safety Cabinet","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","Mars","5070015","2010","6 months, Aug 2012, EVS","2007","","In use","MSC"
"Scanlaf Biological Safety Cabinet","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","Mars","5070012","2010","6 months, Aug 2012, EVS","2007","","In use","MSC"
"Scanlaf Biological Safety Cabinet","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","Mars","5070011","2010","6 months, Aug 2012, EVS","2007","","In use","MSC"
"Scanlaf Biological Safety Cabinet","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","Mars","5070011","2010","6 months, Aug 2012, EVS","2007","","In use","MSC"
"Scanlaf Biological Safety Cabinet","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","Mars","5070014","2010","6 months, Aug 2012, EVS","2007","","In use","Gas Alarm"
"Eppendork 5415D Centrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","5425 23043","2010","12 months, July 2012, DJB Labcare","","CMOI 0129","In use","Gas Alarm"
