"equipment_desc","room_number","location","contact","equip_shared_use","model","serial_no","pat_test","service_information","install_disposal_transfer_info","old_asset_no","db_entry_in_use_or_archived","equipment_type"
"Heto Holten Model 0.9 Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","98844000E","2010","6 months, Feb 2012, EVS","","CMOI 0076","In use","Centrifuge"
"Heto Holten Model 0.9 Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","99095000A","2010","6 months, Feb 2012, EVS","","CMOI 0077","In use","Centrifuge"
"Heto Holten Model 0.9 Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","30403635","2010","6 months, Feb 2012, EVS","","CMOI 0078","In use","MSC"
"MAT Biomat Class I Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/13","2010","6 months, Feb 2012, EVS","","CMOI 0079","In use","MSC"
"Quantum QFM440 CO2 Monitor Alarm","0","Molecular Oncology","Vipul Bhakta","No","n/a","121","2010","","","CMOI 0431","In use","MSC"
"Quantum QFM330 O2 Monitor Alarm","0","Molecular Oncology","Vipul Bhakta","No","n/a","1129","2010","","","CMOI 0432","In use","n/a"
"Beckman Allegra X22 Centrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","AKD08C017","2010","12 months, July, DJB Labcare","","CMOI 0309","In use","MSC"
"Eppendorf 5415C microcentrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","5415 75865","2010","12 months, July, DJB Labcare","","CMOI 0311","In use","MSC"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/2","2010","6 months, EVS, July 2012","","CMOI 0292","In use","Incubator"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/1","2010","6 months, EVS, July 2012","","CMOI 0293","In use","Incubator"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/9","2010","6 months, EVS, July 2012","","CMOI 0298","In use","Incubator"
"Hoshizaki Ice Maker","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","FM120CC","G01344","2010","","2007","","In use","Incubator"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/12","2010","6 months, EVS, July 2012","","CMOI 0307","In use","Incubator"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5607/7","2010","6 months, EVS, July 2012","","CMOI 0308","In use","Incubator"
"Galaxy R CO2 170-30 CO2 incubator","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","2290","2010","12 months, Wolf Labs, Nov 2012","","CMOI 0296","In use","n/a"
"Galaxy R CO2 170-30 CO2 incubator","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","2289","2010","12 months, Wolf Labs, Nov 2012","","CMOI 0297","In use","Centrifuge"
"Galaxy R CO2 170-30 CO2 incubator","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","2538","2010","12 months, Wolf Labs, Nov 2012","","CMOI 0299","In use","Centrifuge"
"Galaxy R CO2 170-30 CO2 incubator","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","2539","2010","12 months, Wolf Labs, Nov 2012","","CMOI 0300","In use","MSC"
"Galaxy R CO2 170-30 CO2 incubator","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","6597","2010","12 months, Wolf Labs, Nov 2012","","CMOI 0301","In use","MSC"
"Galaxy R CO2 cooled CO2 incubator","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","6695","2010","12 months, Wolf Labs, Nov 2012","","CMOI 0302","In use","MSC"
"Fumeair Fume Cupboard","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","FC03/07","2010","6 months, Aug 2012, EVS","Estates fitted","","In use","MSC"
"ALC PK121 Centrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","1117022","2010","12 months, July, DJB Labcare","","CMOI 0060","In use","n/a"
"Eppendorf 5415C microcentrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","5415B 60020","2010","12 months, July, DJB Labcare","","CMOI 0155","In use","n/a"
"Heto Holten Model 0.9 Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","307020460","2010","6 months, EVS, July 2012","","CMOI 0134","In use","Centrifuge"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/10","2010","6 months, EVS, July 2012","","CMOI 0135","In use","n/a"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/4","2010","6 months, EVS, July 2012","","CMOI 0136","In use","Centrifuge"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/3","2010","6 months, EVS, July 2012","","CMOI 0137","In use","n/a"
"Elga Water System","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","Purelab Option-R7/15","OR15M2310849BP","2010","12 months, Sept 2011, Elga","","","In use","n/a"
"Elga Water System","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","Purelab Ultra Mk2","UGB246880","2010","12 months, Sept 2011, Elga","","","In use","n/a"
"MSE Centrifuge Centaur 2","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","9609653","2010","n/a","n/a","CM01 0061","In use","n/a"
"Thermo SPD 1010 Speed vac system","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","05H340020-4A","2010","n/a","n/a","CMOI 0086","In use","n/a"
"Sigma 4K15 Centrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","79850","2010","12 months, July, DJB Labcare","","CMOI 0029","In use","n/a"
"Binder CO2 incubator","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","CB150","06-07681","2010","12 months, Nov 2012 Wolflabs","26.03.2007","","In use","n/a"
"Binder CO2 incubator","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","CB150","06-07406","2010","12 months, Nov 2012 Wolflabs","26.03.2007","","In use","n/a"
"Binder CO2 incubator","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","CB150","06-07405","2010","12 months, Nov 2012 Wolflabs","26.03.2007","","In use","n/a"
"Binder CO2 incubator","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","CB150","06-07499","2010","12 months, Nov 2012 Wolflabs","26.03.2007","","In use","n/a"
"Binder CO2 incubator","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","CB150","06-10986","2010","12 months, Nov 2012 Wolflabs","26.03.2007","","In use","n/a"
"Binder CO2 incubator","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","CB150","06-108970","2010","12 months, Nov 2012 Wolflabs","26.03.2007","","In use","n/a"
"Binder CO2 incubator","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","CB150","07-16961","2010","12 months, Nov 2012 Wolflabs","26.03.2007","","In use","n/a"
"Binder CO2 incubator","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","CB150","07-16958","2010","12 months, Nov 2012 Wolflabs","26.03.2007","","In use","n/a"
"Binder CO2 incubator","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","CB150","06-07351","2010","12 months, Nov 2012 Wolflabs","26.03.2007","","In use","n/a"
"Binder CO2 incubator","0","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","CB150","06-99080","2010","12 months, Nov 2012 Wolflabs","26.03.2007","","In use","n/a"
"HPLC - Agilent 1200 LC Series Computer","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","CZC6440V0G","2010","n/a","n/a","CMOI 0090","In use","n/a"
"HPLC - Agilent 1200 LC Series Degrasser","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","JP62355641","2010","n/a","n/a","CMOI 0091","In use","n/a"
"HPLC - Agilent 1200 LC Series Qquaternary pump","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","DE60556282","2010","n/a","n/a","CMOI 0092","In use","n/a"
"HPLC - Agilent 1200 LC Series Dual Loop","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","DE63055168","2010","n/a","n/a","CMOI 0093","In use","n/a"
"HPLC - Agilent 1200 LC Series Fraction collector","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","DE63055383","2010","n/a","n/a","CMOI 0094","In use","n/a"
"HPLC - Agilent 1200 LC Series Detector","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","DE63057084","2010","n/a","n/a","CMOI 0095","In use","n/a"
"Eppendorf Centrifuge","0","Cancer & Inflammation","Gavin Craig","Yes","5810R","5811 03729","2010","12 months, DJB Labcare, July 2012","","","In use","n/a"
"MSE Falcon Centrifuge","0","Cancer & Inflammation","Gavin Craig","Yes","6/300","SG99/08/256","2010","12 months, DJB Labcare, July 2012","","","In use","n/a"
"Eppendorf Centrifuge","0","Cancer & Inflammation","Gavin Craig","Yes","5415R","5426 0017261","2010","12 months, DJB Labcare, July 2012","","","In use","n/a"
"Eppendorf Centrifuge","0","Cancer & Inflammation","Gavin Craig","Yes","5415D","5425 53109","2010","12 months, DJB Labcare, July 2012","","","In use","n/a"
"Eppendorf Centrifuge","0","Cancer & Inflammation","Gavin Craig","Yes","5415D","5425 110771","2010","12 months, DJB Labcare, July 2012","","","In use","n/a"
"Astec Omni PCR Hood","0","Cancer & Inflammation","Gavin Craig","Yes","5075/2000/02","","2010","6 month, EVS, Aug 2012","","","In use","n/a"
"Big Neat Hood","0","Cancer & Inflammation","Gavin Craig","Yes","n/a","1","2010","6 month, EVS, Aug 2012","","","In use","n/a"
"Mettler Toledo Balance","0","Cancer & Inflammation","Gavin Craig","Yes","PB3002","1114451817","2010","12 months, Balance Technology, Sept 2011","","","In use","n/a"
"Mettler Toledo Balance","0","Cancer & Inflammation","Gavin Craig","Yes","AM100","J63739","2010","12 months, Balance Technology, Sept 2011","","","In use","n/a"
"Mettler Toledo Balance","0","Cancer & Inflammation","Gavin Craig","Yes","PB3002-S","1120272885","2010","12 months, Balance Technology, Sept 2011","","","In use","n/a"
"Alpha Innotec UV Gel Documentation System","0","Cancer & Inflammation","Gavin Craig","Yes","SA-1000","1","2010","","","","In use","n/a"
"Soniprep 150 Sonicator","0","Cancer & Inflammation","Gavin Craig","Yes","A080136","1","2010","","","","In use","n/a"
"Axon Instruments Slide Imager","0","Cancer & Inflammation","Gavin Craig","Yes","Genepix 4000B","94068","2010","","","","In use","n/a"
"MSD Imager","0","Cancer & Inflammation","Gavin Craig","Yes","Sector Imager 2400","125.00610.17204","2010","","","","In use","n/a"
"Seahorse Bioanalizer","0","Cancer & Inflammation","Gavin Craig","Yes","XF-24 2","101452","2010","","","","In use","n/a"
"Seahorse Prepstation","0","Cancer & Inflammation","Gavin Craig","Yes","XF Prepstation","301476C","2010","","","","In use","n/a"
"ABI RT PCR Machine","0","Cancer & Inflammation","Gavin Craig","Yes","StepOne Plus","272004686","2010","12 months LabTech Int","","","In use","n/a"
"ABI PCR Machine","0","Cancer & Inflammation","Gavin Craig","Yes","GeneAmp 9700","80556090544","2010","12 months LabTech Int","","","In use","n/a"
"ABI PCR Machine","0","Cancer & Inflammation","Gavin Craig","Yes","GeneAmp 9701","80558071580","2010","12 months LabTech Int","","","In use","n/a"
"Dynex Technologies Plate Reader","0","Cancer & Inflammation","Gavin Craig","Yes","Opsys MR","1MRA1265","2010","","","","In use","n/a"
"Tecan Plate Reader","0","Cancer & Inflammation","Gavin Craig","Yes","Infinite F200","603000028","2010","","","","In use","n/a"
"Nikon Microscope","0","Cancer & Inflammation","Gavin Craig","Yes","Eclipse 80i","752648","2010","12 months, Microscope sales & service","","","In use","n/a"
"Olympus Microscope","0","Cancer & Inflammation","Gavin Craig","Yes","CK2","610138","2010","12 months, Microscope sales & service","","","In use","n/a"
"Konika Developer","0","Cancer & Inflammation","Gavin Craig","Yes","SRX101A","1069-31059","2010","","","","In use","n/a"
"Eppendorf Centrifuge","0","Cancer & Inflammation","Gavin Craig","Yes","5810R","5811YQ545295","2010","12 months DJB Labcare, July 2012","","","In use","n/a"
"Scanlaf Biological safety Cabinet","0","Cancer & Inflammation","Gavin Craig","Yes","n/a","1090055","2010","6 months, EVS, Aug 2012","","","In use","n/a"
"Scanlaf Biological safety Cabinet","0","Cancer & Inflammation","Gavin Craig","Yes","n/a","1090056","2010","6 months, EVS, Aug 2012","","","In use","n/a"
"Scanlaf Biological safety Cabinet","0","Cancer & Inflammation","Gavin Craig","Yes","n/a","1070043","2010","6 months, EVS, Aug 2012","","","In use","n/a"
"Biomat 2 Biological Safety Cabinet","0","Cancer & Inflammation","Gavin Craig","Yes","n/a","MC4838","2010","6 months, EVS, Aug 2012","","","In use","n/a"
"Olympus Microscope","0","Cancer & Inflammation","Gavin Craig","Yes","CK2","306307","2010","12 months, Microscope sales & service","","","In use","n/a"
"Nikon Microscope","0","Cancer & Inflammation","Gavin Craig","Yes","TMS-F","310019","2010","12 months, Microscope sales & service","","","In use","n/a"
"New Brunswick Galaxy 170S CO2 incubator","0","Cancer & Inflammation","Gavin Craig","Yes","C01705-230-1000","35387","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"New Brunswick Galaxy 170S CO2 incubator","0","Cancer & Inflammation","Gavin Craig","Yes","C01705-230-1001","35393","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"New Brunswick Galaxy 170S CO2 incubator","0","Cancer & Inflammation","Gavin Craig","Yes","C01705-230-1002","35394","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"New Brunswick Galaxy 170S CO2 incubator","0","Cancer & Inflammation","Gavin Craig","Yes","C01705-230-1003","35391","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"New Brunswick Galaxy 170S CO2 incubator","0","Cancer & Inflammation","Gavin Craig","Yes","C01705-230-1004","35395","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"New Brunswick Galaxy 170S CO2 incubator","0","Cancer & Inflammation","Gavin Craig","Yes","C01705-230-1005","35392","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"Eppendorf Centrifuge","0","Cancer & Inflammation","Gavin Craig","Yes","5415D","00 74714","2010","12 months, DJB Labcare, July 2012","","","In use","n/a"
"Eppendorf Centrifuge","0","Cancer & Inflammation","Gavin Craig","Yes","5415D","5425 54111","2010","12 months, DJB Labcare, July 2012","","","In use","n/a"
"New Brunswick -80 Freezer","0","Cancer & Inflammation","Gavin Craig","No","U725-86","N1005-0983-0802","2010","12 month, SD Morris, Nov 2012","","","In use","n/a"
"New Brunswick -80 Freezer","0","Cancer & Inflammation","Gavin Craig","No","U725-86","N1005-0026-1000","2010","12 month, SD Morris, Nov 2012","","","In use","n/a"
"New Brunswick -80 Freezer","0","Cancer & Inflammation","Gavin Craig","No","U570-85","N1002-1135-0396","2010","12 month, SD Morris, Nov 2012","","","In use","n/a"
"New Brunswick -80 Freezer","0","Cancer & Inflammation","Gavin Craig","No","U725-86","1005-4316-0907","2010","12 month, SD Morris, Nov 2012","","","In use","n/a"
"New Brunswick -80 Freezer","0","Cancer & Inflammation","Gavin Craig","No","U725-86","1016-0355-0410","2010","12 month, SD Morris, Nov 2012","","","In use","n/a"
"PRIORCLAVE COMPACT40 AUTOCLAVE","0","Tumour Biology","Debbie Buckle","No","n/a","1790","2010","","","","In use","n/a"
"SCOTSMAN ICE MAKER","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","","","","In use","n/a"
"NEW BRUNSWICK NOVA 4000 INCUBATOR/SH","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"LEICA VT1200S MICROTOME","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","","","","In use","n/a"
"BECKMAN COULTER AVANTI J-26 XP CENTRIFUGE","0","Tumour Biology","Debbie Buckle","Yes","n/a","JXS06K16","2010","12 month DJB Labcare, July 2012","","","In use","n/a"
"LABTECH INT LT-400 MICROPLATE READER","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","","","","In use","n/a"
"ND-1000 SPECTROPHOTOMETER (NANODROP)","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","","moved from Haemato-Oncology","","In use","n/a"
"DIVAL 24L DNA CONCENTRATOR","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","","","","In use","n/a"
"DIVAL 24L VACUUM PUMP","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","","","","In use","n/a"
"LEICA RM 2135 MICROTOME","0","Tumour Biology","Debbie Buckle","No","n/a","0500/29137","2010","","","","In use","n/a"
"MSE MISTRAL 2000 CENTRIFUGE","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","12 month DJB Labcare, July 2012","","","In use","n/a"
"QUEUE BASIC -80 Freezer","0","Tumour Biology","Debbie Buckle","No","n/a","QBF 2186","2010","","","","In use","n/a"
"EWB -80 Freezer","0","Tumour Biology","Debbie Buckle","No","n/a","175.V","2010","","","","In use","n/a"
"NEW BRUNSWICK -80 Freezer","0","Tumour Biology","Debbie Buckle","No","n/a","U570","2010","","","","In use","n/a"
"STRATAGENE UV 1800 STRATALINKER","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","","","","In use","n/a"
"MSE MISTRAL 2000","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","","","","In use","n/a"
"UVP GEL DOCUMENTATION SYSTEM","0","Tumour Biology","Debbie Buckle","Yes","n/a","071103-001","2010","","","","In use","n/a"
"ABI STEP ONE-PLUS REAL TIME PCR","0","Tumour Biology","Debbie Buckle","Yes","n/a","SN272000978","2010","","","","In use","n/a"
"PELTEIR PTC -200 THERMAL CYCLER","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","","","","In use","n/a"
"EPPENDORF 5417R CENTRIFUGE","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","12 month DJB Labcare, July 2012","","","In use","n/a"
"PURITE ANALYTICAL GRADE WATER SYSTE","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","","","","In use","n/a"
"NEW BRUNSWICK C24 INCUBATOR SHAKER","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"ZEISS STEM SV6 MICROSCOPE","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","12 months, July Microscope sales and Service","","","In use","n/a"
"ZEISS STEM SV11 MICROSCOPE","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","12 months, July Microscope sales and Service","","","In use","n/a"
"ABI VERTI  96 WELL PLATE CYCLER","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","","","","In use","n/a"
"HERAEUS FUNCTION LINE INCUBATOR","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"LEEC GA2 INCUBATOR","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"Konica RGII Processor SRX 101-A","0","Tumour Biology","Debbie Buckle","Yes","n/a","SN106911383","2010","","","","In use","n/a"
"Zeiss Telaval 31 Microscope","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, July Microscope sales and Service","","","In use","n/a"
"Heraeus Heracell incubators x1","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"Heraeus Heracell incubators x2","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"Heraeus Heracell incubators x3","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"Heraeus Heracell incubators x4","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"Scharfe Casy Cell Counter","0","Tumour Biology","Debbie Buckle","Yes","n/a","SC1 v10","2010","","","","In use","n/a"
"Scharfe Casy Cell Counter","0","Tumour Biology","Debbie Buckle","Yes","n/a","2EA-1088","2010","","","","In use","n/a"
"Heraeus HERACELL Incubator 1","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"Heraeus HERACELL Incubator 2","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"Heraeus HERACELL Incubator 3","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"Heraeus HERACELL Incubator 4","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"Heraeus HERACELL Incubator 5","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"Heraeus HERACELL Incubator 6","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"Heraeus HERACELL Incubator 7","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"LAB COLD Q -80 Freezer","0","Tumour Biology","Debbie Buckle","No","n/a","QLT2185V14","2010","","","","In use","n/a"
"SONIPREP 15O ULTRASONICATOR","0","Tumour Biology","Debbie Buckle","Yes","n/a","401735","2010","","","","In use","n/a"
"G25 NB INCUBATOR SHAKER","0","Tumour Biology","Debbie Buckle","Yes","n/a","1","2010","","","","In use","n/a"
"Eppendorf centrifuge 5810","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, July 2012, DJB Labcare","","","In use","n/a"
"Binder CO2 incubators 1","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"Binder CO2 incubators 2","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"Binder CO2 incubators 3","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"Binder CO2 incubators 4","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","12 months, Wolf Labs, Nov 2012","","","In use","n/a"
"Heraeus functionline incubator","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","","","","In use","n/a"
"Heraeus functionline incubator","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","","","","In use","n/a"
"BOC Drystore","0","Tumour Biology","Debbie Buckle","No","n/a","1","2010","","","","In use","n/a"
"NEW BRUNSWICK Freezer","0","Tumour Biology","Debbie Buckle","No","n/a","1","","","LG1(Willoughby)","","In use","n/a"
"NEW BRUNSWICK Freezer","0","Tumour Biology","Debbie Buckle","No","n/a","1","","","LG1(Willoughby)","","In use","n/a"
"NEW BRUNSWICK Freezer","0","Tumour Biology","Debbie Buckle","No","n/a","1","","","LG1(Willoughby)","","In use","n/a"
"NEW BRUNSWICK Freezer","0","Tumour Biology","Debbie Buckle","No","n/a","1","","","LG1(Willoughby)","","In use","n/a"
"Sigma 6K15 Centrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","103347","2010","12 months, July 2012, DJB Labcare","","CMOI 0059","In use","n/a"
"Quantum QFM330 O2 Monitor Alarm","0","Molecular Oncology","Vipul Bhakta","No","n/a","281","2010","","","CMOI 0427","In use","n/a"
"Quantum QFM440 CO2 Monitor Alarm","0","Molecular Oncology","Vipul Bhakta","No","n/a","105","2010","","","CMOI 0428","In use","n/a"
"Quantum QFM440 CO2 Monitor Alarm","0","Molecular Oncology","Vipul Bhakta","No","n/a","110","2010","","","CMOI 0429","In use","n/a"
"Combi cell harvester","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","11025","2010","","","CMOI 0130","In use","n/a"
"Beckman Allegra X22 Centrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","AKD08B006","2010","12 months, July 2012, DJB Labcare","","CMOI 0074","In use","n/a"
"Eppendork 5415D Centrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","5425 23043","2010","12 months, July 2012, DJB Labcare","","CMOI 0129","In use","n/a"
"Heto Holten Model 0.9 Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","98844000E","2010","6 months, Feb 2012, EVS","","CMOI 0076","In use","n/a"
"Heto Holten Model 0.9 Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","99095000A","2010","6 months, Feb 2012, EVS","","CMOI 0077","In use","n/a"
"Heto Holten Model 0.9 Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","30403635","2010","6 months, Feb 2012, EVS","","CMOI 0078","In use","n/a"
"MAT Biomat Class I Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/13","2010","6 months, Feb 2012, EVS","","CMOI 0079","In use","n/a"
