"equipment_desc","room_number","location","contact","equip_shared_use","model","serial_no","pat_test","service_information","install_disposal_transfer_info","old_asset_no","db_entry_in_use_or_archived","equipment_type"
"Quantum QFM440 CO2 Monitor Alarm","0","Molecular Oncology","Vipul Bhakta","No","n/a","121","2010","","","CMOI 0431","In use","n/a"
"Quantum QFM330 O2 Monitor Alarm","0","Molecular Oncology","Vipul Bhakta","No","n/a","1129","2010","","","CMOI 0432","In use","n/a"
"Beckman Allegra X22 Centrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","AKD08C017","2010","12 months, July, DJB Labcare","","CMOI 0309","In use","n/a"
"Eppendorf 5415C microcentrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","5415 75865","2010","12 months, July, DJB Labcare","","CMOI 0311","In use","n/a"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/2","2010","6 months, EVS, July 2012","","CMOI 0292","In use","n/a"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/1","2010","6 months, EVS, July 2012","","CMOI 0293","In use","n/a"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/9","2010","6 months, EVS, July 2012","","CMOI 0298","In use","n/a"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/5","2010","6 months, EVS, July 2012","","CMOI 0303","In use","n/a"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/12","2010","6 months, EVS, July 2012","","CMOI 0307","In use","n/a"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5607/7","2010","6 months, EVS, July 2012","","CMOI 0308","In use","n/a"
"Galaxy R CO2 170-30 CO2 incubator","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","2290","2010","12 months, Wolf Labs, Nov 2012","","CMOI 0296","In use","n/a"
"Galaxy R CO2 170-30 CO2 incubator","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","2289","2010","12 months, Wolf Labs, Nov 2012","","CMOI 0297","In use","n/a"
"Galaxy R CO2 170-30 CO2 incubator","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","2538","2010","12 months, Wolf Labs, Nov 2012","","CMOI 0299","In use","n/a"
"Galaxy R CO2 170-30 CO2 incubator","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","2539","2010","12 months, Wolf Labs, Nov 2012","","CMOI 0300","In use","n/a"
"Galaxy R CO2 170-30 CO2 incubator","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","6597","2010","12 months, Wolf Labs, Nov 2012","","CMOI 0301","In use","n/a"
"Galaxy R CO2 cooled CO2 incubator","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","6695","2010","12 months, Wolf Labs, Nov 2012","","CMOI 0302","In use","n/a"
"Mettler Toledo PG802S Analytical balance","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","116103424","2010","12 months, Balance Technology","","CMOI 0156","In use","n/a"
"ALC PK121 Centrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","1117022","2010","12 months, July, DJB Labcare","","CMOI 0060","In use","n/a"
"Eppendorf 5415C microcentrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","5415B 60020","2010","12 months, July, DJB Labcare","","CMOI 0155","In use","n/a"
"Heto Holten Model 0.9 Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","307020460","2010","6 months, EVS, July 2012","","CMOI 0134","In use","n/a"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/10","2010","6 months, EVS, July 2012","","CMOI 0135","In use","n/a"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/4","2010","6 months, EVS, July 2012","","CMOI 0136","In use","n/a"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/3","2010","6 months, EVS, July 2012","","CMOI 0137","In use","n/a"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/6","2010","6 months, EVS, July 2012","","CMOI 0138","In use","n/a"
"MAT Biomat Class II Safety Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","MC5670/11","2010","6 months, EVS, July 2012","","CMOI 0139","In use","n/a"
"MSE Centrifuge Centaur 2","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","9609653","2010","","","CM01 0061","In use","n/a"
"Thermo SPD 1010 Speed vac system","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","05H340020-4A","2010","","","CMOI 0086","In use","n/a"
"Sigma 4K15 Centrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","79850","2010","12 months, July, DJB Labcare","","CMOI 0029","In use","n/a"
"Sigma 4K15 Centrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","70543","2010","12 months, July, DJB Labcare","","CMOI 0030","In use","n/a"
"Avanti JE Centifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","JSE02H19","2010","12 months, July, DJB Labcare","","CMOI 0031","In use","n/a"
"Avanti JE Centifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","JSE02H18","2010","12 months, July, DJB Labcare","","CMOI 0032","In use","n/a"
"Heraeus Labofuge 400 Centrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","40581270","2010","12 months, July, DJB Labcare","","CMOI 0033","In use","n/a"
"Optima Max-E, bench top ultra","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","CTM00L10","2010","","","CMOI 0038","In use","n/a"
"UVI Tec Gel Doc","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","411121","2010","","","CMOI 0388","In use","n/a"
"UVI Doc Gel Doc","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","411681","2010","","","CMOI 0389","In use","n/a"
"Bibby Stuart/STR9 Gyro Rocker","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","R000101889","2010","","","CMOI 0375","In use","n/a"
"Hulme Martin Heat Sealer","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","3012106","2010","","","CMOI 0120","In use","n/a"
"Hulme Martin Heat Sealer","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","30CD/3147","2010","","","CMOI 0370","In use","n/a"
"HPLC - Agilent 1200 LC Series Computer","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","CZC6440V0G","2010","","","CMOI 0090","In use","n/a"
"HPLC - Agilent 1200 LC Series Degrasser","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","JP62355641","2010","","","CMOI 0091","In use","n/a"
"HPLC - Agilent 1200 LC Series Qquaternary pump","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","DE60556282","2010","","","CMOI 0092","In use","n/a"
"HPLC - Agilent 1200 LC Series Dual Loop","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","DE63055168","2010","","","CMOI 0093","In use","n/a"
"HPLC - Agilent 1200 LC Series Fraction collector","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","DE63055383","2010","","","CMOI 0094","In use","n/a"
"HPLC - Agilent 1200 LC Series Detector","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","DE63057084","2010","","","CMOI 0095","In use","n/a"
"HPLC - Agilent 1200 LC Series Thermo Column Compartment","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","DE6055899","2010","","","CMOI 0096","In use","n/a"
"Techne Hybridiser HB-ID Hyb Oven","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","70759-6","2010","","","CMOI 0118","In use","n/a"
"Techne Hybridiser HB-ID Hyb Oven","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","66517-6","2010","","","CMOI 0119","In use","n/a"
"Stuart Scientific SI 20H oven /shaker","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","R000100507","2010","","","CMOI 0386","In use","n/a"
"Perkin Elmer Victor 1420-050 Imaging system","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","4207803","2010","","","CMOI 0111","In use","n/a"
"Perkin Elmer Victor 1420-050 Imaging system","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","420256095","2010","","","CMOI 0112","In use","n/a"
"BDH Cooled Incubator","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","6341/00/L","2010","","","CMOI 0390","In use","n/a"
"New Brunswick Innova 4000 Shaker","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","990324076","2010","","","CMOI 0395","In use","n/a"
"New Brunswick Innova 4000 Shaker","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","590946340","2010","","","CMOI 0396","In use","n/a"
"New Brunswick Innova 4000 Shaker","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","691051319","2010","","","CMOI 0397","In use","n/a"
"New Brunswick Innova 43 Shaker","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","500786810","2010","","","","In use","n/a"
"Leec incubator shaker","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","596","2010","","","CMOI 0393","In use","n/a"
"Gallenkamp Hot box oven, with fan, size 2","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","SG91/10/077","2010","","","CMOI 0394","In use","n/a"
"Gallenkamp economy incubator, size 1","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","SG96/05/088","2010","","","CMOI 0398","In use","n/a"
"Typhoon 8600 variable mode imager","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","63002797-094254","2010","","","CMOI 0387","In use","n/a"
"Molecular Dynamics Imager Eraser for Typhoon","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","75889","2010","","","CMOI 0399","In use","n/a"
"Nanodrop ND 1000","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","2167","2010","12 months, LabTech Int","","CMOI 0113","In use","n/a"
"Beckman DU-520 Spectrophotemeter","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","U20000962","2010","","","CMOI 0116","In use","n/a"
"Beckman DU-520 Spectrophotometer","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","U20000408","2010","","","CMOI 0117","In use","n/a"
"MR Research Dyad DNA engine","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","DY002724","2010","12 months, LabTech Int","","CMOI 0014","In use","n/a"
"MJ Research PTC 200 Thermal Cycler","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","EN009852","2010","12 months, LabTech Int","","CMOI 0107","In use","n/a"
"MJ Research PTC 225 Thermal Cycler","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","TD003582","2010","12 months, LabTech Int","","CMOI 0109","In use","n/a"
"MJ Research PTC 100 Thermal Cycler","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","17246","2010","12 months, LabTech Int","","CMOI 0382","In use","n/a"
"Applied Biosystems 7500 System Real Time PCR","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","275001515","2010","","","CMOI 0401","In use","n/a"
"New Brunswick Scientific U360 -80 Freezer","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","1005-2322-0705","2010","","","CMOI 0110","In use","n/a"
"Biorad  Capacitance Extender II","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","165-2107","2010","","","CMOI 0383","In use","n/a"
"Biorad Gene Pulser","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","1793","2010","","","CMOI 0384","In use","n/a"
"Biorad Pulse Controller II","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","343BR00641","2010","","","CMOI 0385","In use","n/a"
"Mettler Toledo PB3002-S Delta Range","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","1122050365","2010","12 months, Balance Technology","","CMOI 0333","In use","n/a"
"Mettler Toledo AB104-S Analytical balance","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","1121111270","2010","12 months, Balance Technology","","CMOI 0334","In use","n/a"
"Eppendork 5415D Centrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","5425 22806","2010","12 months, July, DJB Labcare","","CMOI 0363","In use","n/a"
"Eppendorf  5417R Centrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","5407-02430","2010","12 months, July, DJB Labcare","","CMOI 0013","In use","n/a"
"Eppendorf 5415R microcentrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","5426 05299","2010","12 months, July, DJB Labcare","","CMOI 0335","In use","n/a"
"Liebherr Profi Line Cold Cabinet","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","231114","2010","","","CMOI 0058","In use","n/a"
"LTE Scientific Mini Lyotrap Freeze Dryer","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","T819912","2010","","","CMOI 0084","In use","n/a"
"Fumiar Fume Hood","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","x","2010","6 months, EVS, July 2012","","CMOI 0534","In use","n/a"
"Fumiar Fume Hood","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","x","2010","6 months, EVS, July 2012","","CMOI 0535","In use","n/a"
"Scotsman AF80 Ice Machine","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","DD112920","2010","","","CMOI 0054","In use","n/a"
"Mettler Toledo MP220 Ph Meter","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","214766","2010","","","CMOI 0331","In use","n/a"
"BioRad/Power Pac 300","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","283BR16619","2010","","","CMOI 0368","In use","n/a"
"BioRad/Power Pac 301","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","283BR02481","2010","","","CMOI 0369","In use","n/a"
"BioRad/Power Pac Basic","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","041BR04213","2010","","","CMOI 0373","In use","n/a"
"BioRad/Power Pac 3000","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","277BR01202","2010","","","CMOI 0380","In use","n/a"
"BioRad/Power Pac 300","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","283BR01729","2010","","","CMOI 0381","In use","n/a"
"Bibby Stuart/STR6 Rocker","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","R000103788","2010","","","CMOI 0374","In use","n/a"
"Stuart SSL4 Rocker","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","R0001001041","2010","","","CMOI 0326","In use","n/a"
"Stuart SRT1 Roller","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","R000102783","2010","","","CMOI 0327","In use","n/a"
"Stuart SB2 Rotater","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","R001000058","2010","","","CMOI 0324","In use","n/a"
"Geneamp PCR system 9700 Thermo cycler","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","A96S0071148(block)","2010","","","CMOI 0289","In use","n/a"
"Geneamp PCR system 9700 Thermo cycler","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","805S0100516 (base)","2010","","","CMOI 0290","In use","n/a"
"New Brunswick Scientific U410 -80 Freezer","0","Molecular Oncology","Vipul Bhakta","No","n/a","1004-5011-0403","2010","12 months, NB","","CMOI 0323","In use","n/a"
"New Brunswick Scientific U570 -80 Freezer","0","Molecular Oncology","Vipul Bhakta","No","n/a","1004-5326-1203","2010","12 months, NB","","CMOI 0328","In use","n/a"
"Liebherr Profi Line minus 20","0","Molecular Oncology","Vipul Bhakta","No","n/a","335850016","2010","","","CMOI 0329","In use","n/a"
"Liebherr Premium no frost minus 20","0","Molecular Oncology","Vipul Bhakta","No","n/a","21.216.323.4","2010","","","CMOI 0336","In use","n/a"
"Liebherr Premium no frost minus 20","0","Molecular Oncology","Vipul Bhakta","No","n/a","21.203.307.0","2010","","","CMOI 0337","In use","n/a"
"Lec LR350 Fridge","0","Molecular Oncology","Vipul Bhakta","No","n/a","335850013","2010","","","CMOI 0338","In use","n/a"
"Lec LR350 Fridge","0","Molecular Oncology","Vipul Bhakta","No","n/a","335850016","2010","","","CMOI 0339","In use","n/a"
"Lec IST56 Fridge-Freezer","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","9D000085","2010","","","CMOI 0330","In use","n/a"
"Vacuum Pump for Lyo trap (ilmvac)","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","61201","2010","","","CMOI 0085","In use","n/a"
"Grant/JB1 water bath","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","609934018","2010","","","CMOI 0376","In use","n/a"
"Grant/JB2 water bath","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","129909","2010","","","CMOI 0377","In use","n/a"
"Eppendorf 5415R microcentrifuge","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","5426 05579","2010","12 months, July, DJB Labcare","","CMOI 0348","In use","n/a"
"Fumiar Fume Hood","0","Molecular Oncology","Vipul Bhakta","Yes","n/a","x","2010","6 months, EVS, July 2012","","CMOI 0536","In use","n/a"
"L' Air Liquide GT55 (Basu, Hallden)","0","Molecular Oncology","Vipul Bhakta","No","n/a","N/A","2010","","","CMOI 0316","In use","n/a"
"Taylor Wharton 3K Series (Tank 3)","0","Molecular Oncology","Vipul Bhakta","No","n/a","560-006-BB5","2010","","","CMOI 0321","In use","n/a"
"Taylor Wharton 3K Series (Tank 1)","0","Molecular Oncology","Vipul Bhakta","No","n/a","560-003-BB8","2010","","","CMOI 0322","In use","n/a"
"Nuaire NU-6514E -80 Freezer","0","Molecular Oncology","Vipul Bhakta","No","n/a","81008979","","","","CMOI 0257","In use","n/a"
"New Brunswick Scientific U570 -80 Freezer","0","Molecular Oncology","Vipul Bhakta","No","n/a","1004-5327-1203","2010","12 months, Eppendorf","","CMOI 0438","In use","n/a"
"New Brunswick Scientific U570 -80 Freezer","0","Molecular Oncology","Vipul Bhakta","No","n/a","1004-5319-1203","2010","12 months, Eppendorf","","CMOI 0439","In use","n/a"
"New Brunswick Scientfic U570 -80 Freezer","0","Molecular Oncology","Vipul Bhakta","No","n/a","1004-5322-1203","2010","12 months, Eppendorf","","CMOI 0440","In use","n/a"
"New Brunswick Scientfic U410 -80 Freezer","0","Molecular Oncology","Vipul Bhakta","No","n/a","1002-1554-0397","2010","12 months, Eppendorf","","CMOI 0522","In use","n/a"
"New Brunswick Scientific U570 -80 Freezer","0","Molecular Oncology","Vipul Bhakta","No","n/a","1004-5318-1203","2010","12 months, Eppendorf","","CMOI 0523","In use","n/a"
"New Brunswick Scientific U570 -80 Freezer","0","Molecular Oncology","Vipul Bhakta","No","n/a","1004-5328-1203","2010","12 months, Eppendorf","","CMOI 0524","In use","n/a"
"New Brunswick Scientific U570 -80 Freezer","0","Molecular Oncology","Vipul Bhakta","No","n/a","1004-5324-1203","2010","12 months, Eppendorf","","CMOI 0525","In use","n/a"
"New Brinswick Scientific U570 -80 Freezer","0","Molecular Oncology","Vipul Bhakta","No","n/a","1004-5325-1203","2010","12 months, Eppendorf","","CMOI 0526","In use","n/a"
"New Brunswick Scientific U410 -80 Freezer","0","Molecular Oncology","Vipul Bhakta","No","n/a","1004-7593-1206","2010","12 months, Eppendorf","","CMOI 0527","In use","n/a"
"New Brunswick Scientific U410 -80 Freezer","0","Molecular Oncology","Vipul Bhakta","No","n/a","1004-7636-0107","2010","12 months, Eppendorf","","CMOI 0528","In use","n/a"
"New Brunswick Scientific U410 -80 Freezer","0","Molecular Oncology","Vipul Bhakta","No","n/a","1004-8295-0807","2010","12 months, Eppendorf","","CMOI 0529","In use","n/a"
"New Brunswick Scientific U570 -80 Freezer","0","Molecular Oncology","Vipul Bhakta","No","n/a","1004-8892-0208","2010","12 months, Eppendorf","","CMOI 0530","In use","n/a"
"Astell Scientific Autoclave","0","BCI Washroom","Gavin Craig","No","n/a","PD40168 (Dylan)","2010","3 month, Astell, Oct 2012","","CMOI 0042","In use","n/a"
"Astell Scientific Autoclave","0","BCI Washroom","Gavin Craig","No","n/a","PD40167 (Ermintrude)","2010","","","CMOI 0043","In use","n/a"
"Priorclave Autoclave","0","BCI Washroom","Vipul Bhakta","Yes","n/a","1096","2010","","Decommissioned and disposed April 2010","CMOI 0044","Archive","n/a"
"LTE Touchclave R Autoclave","0","BCI Washroom","Gavin Craig","No","n/a","K12486","","LTE Scientific Ltd, May","Installed May 2010, Service in May","","In use","n/a"
"Miele G7825 Professional Dishwasher","0","BCI Washroom","Gavin Craig","No","n/a","53098439","2010","12 month, SIC, 2012","","CMOI 0045","In use","n/a"
"Miele G7825 Professional Dishwasher","0","BCI Washroom","Gavin Craig","No","n/a","53097285","2010","12 month, SIC, 2012","","CMOI 0046","In use","n/a"
"Miele G7783 Dishwasher","0","BCI Washroom","Gavin Craig","No","n/a","18333861","2010","12 month, SIC, 2012","","CMOI 0052","In use","n/a"
"LTE Economy Drying Cabinet","0","BCI Washroom","Gavin Craig","No","n/a","J6668/2","2010","","","CMOI 0048","In use","n/a"
"LTE Drying cabinet","0","BCI Washroom","Gavin Craig","No","n/a","J2841","2010","","","CMOI 0049","In use","n/a"
"Millipore RiOs 50 and SDS 200 Pure Water System","0","BCI Washroom","Gavin Craig","No","n/a","F6DN11568","2010","12 months, Millipore","","CMOI 0047","In use","n/a"
"Haigh Engineering Disposamatic 750-56B Macerator","0","BCI Washroom","Gavin Craig","No","n/a","N/A","2010","","","CMOI 0053","In use","n/a"
"LTE OP150 Oven","0","BCI Washroom","Gavin Craig","No","n/a","J8886","2010","","","CMOI 0050","In use","n/a"
"LTE OP150 Oven","0","BCI Washroom","Gavin Craig","No","n/a","J8885","2010","","","CMOI 0051","In use","n/a"
"Millipore Advantage 5 Water Purification units","0","BCI Washroom","Gavin Craig","No","n/a","F1HA80204D","2010","12 months, Millipore, June","New system Installed June 2011, Annual Service in June","","In use","n/a"
"ABI QuantStudio7 (qPCR)","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","3 year","x","n/a","In use","n/a"
"Bio Rad QX100 (ddPCR)","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In Use","n/a"
"Eppendorf Master Cycler Pro S","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Eppendorf Master Cycler Pro S","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Bio Rad C100 (Thermocycler)","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"BMG Fluostar Optima Plate Reader","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Seahorse Analyser (XFe96)","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Fluxion Isoflux","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Binder BD115 (37c non CO2 incubator)","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"New Brunswick Innova 4000 Shaking Incubator","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Bio Rad Trasblot Turbo","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Invitrogen iBlot","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Jenway pH Meter","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Thermo Megafuge 16R Centrifuge (x4)","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Thermo Megafuge 3XR Centrifuge","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Eppendorf Thermo Mixer C (x2)","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Eppendorf Thermo Mixer Comfort (x2)","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"2100 Antigen Retriever","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Fisher Ultrasonic Water Bath","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Casy Counter TTC 150uM","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Miltenyi gentleMACS dissociator","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Bio Rad Gene Pulser Xcell","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Olympus CKX41SF-5 Microscope","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Olympus CKX31SF-5 Microscope","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
"Olympus CKX41SF-5 Microscope","340","Stem Cells in Cancer & Ageing","Andrew Palfreeman","Yes","n/a","1","2014","n/a","x","n/a","In use","n/a"
